system index,primary star type,close companion exists?,close companion star type,distant companion exists?,distant companion star type,primary name,close companion name,distant companion name,age,primary luminosity,close companion luminosity,distant companion luminosity,id,name,parent star(s),orbit index,parent body,moon index,belt length,type,size,composition,density,atmosphere thickness,primary atmospheric gas,oxygen,greenhouse effect,base temperature,proper temperature,surface liquid,liquid coverage,rings,geologically active,life,civilization,visual style,v2.0.0
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,0,Muart,1,25,-1,-1,null,0,100,5,0.2,-1,-1,0,0,2,2,0,0,1,false,0,0,2,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,1,Bepha,1,35,-1,-1,null,0,13,4,0.2,-1,-1,0,0,0,0,0,0,1,false,0,0,0,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,2,Glidiplan,1,19,-1,-1,null,0,1.1,3,1.5,5,1,0,4,3,4,0,0,0,false,0,0,4,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,3,Calmu,1,14,-1,-1,null,0,0.15,0,1.0,1,2,0,0,5,5,0,0,0,false,0,0,1,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,4,Burshis,1,5,-1,-1,null,0,0.15,0,1.0,0,0,0,0,11,11,0,0,0,false,0,0,0,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,5,Rogesan,1,12,-1,-1,null,0,1.1,0,0.7,6,1,0,0,6,6,0,0,1,false,0,0,4,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,6,Ferat,1,10,-1,-1,null,0,1.1,0,1.1,4,1,1,3,8,10,1,0.1,0,true,2,0,3,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,7,Nyba,1,8,-1,-1,null,0,0.04,0,1.0,1,1,0,0,9,9,0,0,0,false,0,0,3,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,8,Corblan,1,1,-1,-1,null,0,1,0,0.7,6,2,0,5,15,18,0,0,0,false,0,0,1,
        0,3,false,-1,true,2,Brane A,Bastun B,Brane B,4.0,0.6849054012376294,0,0.1725813934948885,9,Lercurs,1,39,-1,-1,8,1,0.0004,2,0.8,0,0,0,0,0,0,0,0,1,false,0,0,3,
