system index,primary star type,close companion exists?,close companion star type,distant companion exists?,distant companion star type,primary name,close companion name,distant companion name,age,primary luminosity,close companion luminosity,distant companion luminosity,id,name,parent star(s),orbit index,parent body,moon index,belt length,type,size,composition,density,atmosphere thickness,primary atmospheric gas,oxygen,greenhouse effect,base temperature,proper temperature,surface liquid,liquid coverage,rings,geologically active,life,civilization,visual style,v2.0.0
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,0,Ekerbris,1,1,-1,-1,null,0,200,5,0.2,-1,-1,0,0,15,15,0,0,1,false,0,0,3,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,1,Thoarn,1,28,-1,-1,null,0,500,5,0.2,-1,-1,0,0,1,1,0,0,1,false,0,0,2,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,2,Dorba,1,23,-1,-1,null,0,500,5,0.2,-1,-1,0,0,3,3,0,0,1,false,0,0,3,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,3,Dirdor,1,12,-1,-1,null,0,1.5,0,0.6,3,1,0,0,6,6,0,0,0,false,0,0,1,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,4,Jeti,1,17,-1,-1,null,0,0.15,0,1.1,1,1,0,0,4,4,0,0,0,false,0,0,1,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,5,Stoforclis,1,32,-1,-1,6,1,0.00008,1,0.3,0,0,0,0,0,0,0,0,1,true,1,0,5,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,6,Nabars,1,32,-1,-1,6,1,0.00011,0,0.9,0,0,0,0,0,0,0,0,0,false,0,0,3,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,7,Vubru,1,32,-1,-1,6,1,0.0006,1,0.5,0,0,0,0,0,0,0,0,1,true,1,0,0,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,8,Tisto,1,32,-1,-1,6,1,0.0008,3,1.4,0,0,0,0,0,0,0,0,1,false,0,0,5,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,9,Ferker,1,32,-1,-1,6,1,0.0008,1,0.3,0,0,0,0,0,0,0,0,0,false,0,0,2,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,10,Tutin,1,32,-1,-1,6,1,0.0014,1,0.4,0,0,0,0,0,0,0,0,0,true,1,0,0,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,11,Scidaben,1,40,-1,-1,5,1,0.0004,1,0.5,0,0,0,0,0,0,0,0,1,true,1,0,0,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,12,Romer,1,40,-1,-1,5,1,0.00057,1,0.5,0,0,0,0,0,0,0,0,1,true,2,0,2,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,13,Beut,1,40,-1,-1,5,1,0.0001,1,0.5,0,0,0,0,0,0,0,0,1,true,1,0,0,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,14,Triscerirs,1,40,-1,-1,5,1,0.00037,1,0.4,0,0,0,0,0,0,0,0,0,false,0,0,2,
        0,4,false,-1,false,-1,Birla,Ritros B,Jites B,4.6,2.3624035912755024,0,0,15,Nibis,1,40,-1,-1,5,1,0.0012,1,0.5,0,0,0,0,0,0,0,0,1,true,2,2,4,
